GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SafetyNetAlert,com.safetynet.safetynetalert.service.persandmedservice,PersonService,84,194,14,14,14,36,15,3,1,3
SafetyNetAlert,com.safetynet.safetynetalert.service.persandmedservice,MedicalrecordService,14,160,4,6,3,28,5,4,1,3
SafetyNetAlert,com.safetynet.safetynetalert.service.persandmedservice,PersAndMedService,17,91,4,4,6,16,5,5,1,5
SafetyNetAlert,com.safetynet.safetynetalert.controllers.apicontrollers,MedicalRecordControllers,16,3,0,0,4,1,3,1,3,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.apicontrollers,PersonControllers,16,3,0,0,4,1,3,1,3,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.apicontrollers,FirestationControllers,16,3,0,0,4,1,3,1,3,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.apicontrollers,GetControllers,36,3,0,0,7,1,7,1,7,1
SafetyNetAlert,com.safetynet.safetynetalert.service,DTOFactory,3,62,0,0,1,17,1,4,1,4
SafetyNetAlert,com.safetynet.safetynetalert.service,GetService,20,607,3,43,5,130,3,29,0,9
SafetyNetAlert,com.safetynet.safetynetalert.loggerargument,LogArgs,8,13,0,0,3,4,3,4,3,4
SafetyNetAlert,com.safetynet.safetynetalert.controllers.htmlcontrollers,PersonHTMLControllers,58,3,0,0,12,1,6,1,6,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.htmlcontrollers,FirestationHTMLControllers,52,3,0,0,12,1,6,1,6,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.htmlcontrollers,IndexHTMLControllers,23,3,0,0,4,1,1,1,1,1
SafetyNetAlert,com.safetynet.safetynetalert.controllers.htmlcontrollers,MedicalrecordHTMLControllers,66,3,0,0,12,1,6,1,6,1
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,NotEqualSizeListException,4,0,0,0,2,0,1,0,1,0
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,ExistingDataException,5,0,0,0,2,0,1,0,1,0
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,NoFnameOrLnameException,0,6,0,0,0,2,0,1,0,1
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,WrongFormatException,5,0,0,0,2,0,1,0,1,0
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,NoEntryByStationException,0,5,0,0,0,2,0,1,0,1
SafetyNetAlert,com.safetynet.safetynetalert.exceptions,NoEntryException,0,5,0,0,0,2,0,1,0,1
SafetyNetAlert,com.safetynet.safetynetalert,Config,0,7,0,0,0,2,0,2,0,2
SafetyNetAlert,com.safetynet.safetynetalert,SafetyNetAlertApplication,5,7,0,0,2,3,1,2,1,2
SafetyNetAlert,com.safetynet.safetynetalert.dao,Dao,79,226,5,11,27,56,10,20,5,17
SafetyNetAlert,com.safetynet.safetynetalert.service.firestationservice,FirestationService,16,113,2,2,3,24,3,6,1,6
SafetyNetAlert,com.safetynet.safetynetalert.domain,Person,0,52,0,0,0,9,0,15,0,15
SafetyNetAlert,com.safetynet.safetynetalert.domain,PersonFirestation,0,31,0,0,0,6,0,9,0,9
SafetyNetAlert,com.safetynet.safetynetalert.domain,Child,3,35,0,0,1,6,1,10,1,10
SafetyNetAlert,com.safetynet.safetynetalert.domain,Count,0,17,0,0,0,4,0,5,0,5
SafetyNetAlert,com.safetynet.safetynetalert.domain,Firestation,0,17,0,0,0,4,0,5,0,5
SafetyNetAlert,com.safetynet.safetynetalert.domain,HouseHold,3,14,0,0,1,3,1,4,1,4
SafetyNetAlert,com.safetynet.safetynetalert.domain,Medicalrecord,0,38,0,0,0,7,0,11,0,11
SafetyNetAlert,com.safetynet.safetynetalert.domain,PersonFloodAndFire,3,35,0,0,1,6,1,10,1,10
SafetyNetAlert,com.safetynet.safetynetalert.domain,PersonInfo,3,42,0,0,1,7,1,12,1,12
SafetyNetAlert,com.safetynet.safetynetalert.domain,Database,0,24,0,0,0,5,0,7,0,7
